player_id,player_name,team_id
1001,Laz,101
1002,TENNN,101
1003,Dep,101
1004,crow,101
1005,SugarZ3ro,101
1006,MaKo,102
1007,Foxy9,102
1008,stax,102
1009,Zest,102
1010,Rb,102
1011,Munchkin,103
1012,Carpe,103
1013,xeta,103
1014,iNTRO,103
1015,Sayaplayer,103
1016,Bazzi,104
1017,AYRIN,104
1018,t3xture,104
1019,WRONSKI,104
1020,Monyet,104
1021,ban,103
1022,Jinggg,105
1023,Benkai,105
1024,f0rsakeN,105
1025,d4v41,105
1026,mindfreak,105
1027,Suggest,106
1028,takej,106
1029,Reita,106
1030,Anthem,106
1031,xnfri,106
1032,invy,107
1033,BORKUM,107
1034,Jremy,107
1035,DubsteP,107
1036,JessieVash,107
1037,JitBoyS,108
1038,Patiphan,108
1039,garnetS,108
1040,foxz,108
1041,Crws,108
1042,Sushiboys,108
1043,xffero,109
1044,2ge,109
1045,fl1pzjder,109
1046,EJAY,109
1047,Lmemore,109
1048,Meteor,110
1049,GodDead,110
1050,k1Ng,110
1051,eKo,110
1052,TS,110
1053,Sylvan,110
1054,BuZz,102
1055,something,105
1056,Emman,109
1057,Seoldam,106
1058,Lightningfast,104
1059,SkRossi,104
1060,cgrs,105
1061,lenne,107
1062,sheydos,111
1063,trexx,111
1064,starxo,111
1065,koldamenta,111
1066,Wolfen,111
1067,cNed,112
1068,ANGE1,112
1069,Shao,112
1070,Zyppan,112
1071,SUYGETSU,112
1072,Boaster,113
1073,Chronicle,113
1074,Leo,113
1075,kamyk,113
1076,Derke,113
1077,Cloud,114
1078,nukkye,114
1079,hoody,114
1080,Fit1nho,114
1081,rhyme,114
1082,AvovA,115
1083,Boo,115
1084,Mixwell,115
1085,keloqz,115
1086,zeek,115
1087,qw1,116
1088,MrFaliN,116
1089,qRaxs,116
1090,AtaKaptan,116
1091,MOJJ,116
1092,Sayf,117
1093,Jamppi,117
1094,nAts,117
1095,soulcas,117
1096,Redgar,117
1097,BONECOLD,118
1098,Destrian,118
1099,MOLSI,118
1100,Twisten,118
1101,ceNder,118
1102,Nivera,119
1103,xms,119
1104,ScreaM,119
1105,Newzera,119
1106,sh1n,119
1107,SouhcNi,120
1108,QutionerX,120
1109,Brave,120
1110,Turko,120
1111,AsLanM4shadoW,120
1112,Muj,116
1113,Alfajer,113
1114,ZE1SH,119
1115,Harmii,117
1116,weber,115
1117,zekken,121
1118,TenZ,121
1119,Sacy,121
1120,pANcada,121
1121,dephh,121
1122,Asuna,122
1123,stellar,122
1124,bang,122
1125,Derrek,122
1126,Cryocells,122
1127,Klaus,123
1128,keznit,123
1129,DaveeyS,123
1130,NagZ,123
1131,Melser,123
1132,Khalil,124
1133,Mazin,124
1134,Quick,124
1135,dgzin,124
1136,mwzera,124
1137,Less,125
1138,aspas,125
1139,saadhak,125
1140,tuyz,125
1141,cauanzin,125
1142,jzz,126
1143,heat,126
1144,RgLMeister,126
1145,murizzz,126
1146,frz,126
1147,BcJ,127
1148,C0M,127
1149,jawgemo,127
1150,Boostio,127
1151,Ethan,127
1152,Zellsis,128
1153,jakee,128
1154,Xeppaa,128
1155,runi,128
1156,leaf,128
1157,kiNgg,129
1158,Mazino,129
1159,Shyy,129
1160,nzr,129
1161,Tacolilla,129
1162,Victor,130
1163,s0m,130
1164,FiNESSE,130
1165,ardiis,130
1166,crashies,130
1167,Demon1,127
1168,Marved,121
1169,axeddy,123
1170,TxoziN,126
1171,Life,131
1172,YHchen,131
1173,monk,131
1174,bunt,131
1175,hfmi0dzjc9z7,131
1176,Smoggy,132
1177,ZmjjKK,132
1178,Haodong,132
1179,nobody,132
1180,CHICHOO,132
1181,benjyfishy,115
1182,kon4n,124
1183,AAAAY,133
1184,Lysoar,133
1185,Yuicaw,133
1186,nizhaoTZH,133
1187,BerLIN,133
1188,Biank,134
1189,whzy,134
1190,rin,134
1191,Yosemite,134
1192,Knight,134
